INFO  - 2015-06-28 11:12:15.180; org.eclipse.jetty.server.handler.ContextHandler; stopped o.e.j.w.WebAppContext{/solr,file:/opt/solr/solr-webapp/webapp/},/opt/solr/webapps/solr.war
INFO  - 2015-06-28 11:19:05.877; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2015-06-28 11:19:05.966; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /opt/solr/contexts at interval 0
INFO  - 2015-06-28 11:19:05.984; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /opt/solr/contexts/solr-jetty-context.xml
INFO  - 2015-06-28 11:19:07.932; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2015-06-28 11:19:08.047; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2015-06-28 11:19:08.075; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2015-06-28 11:19:08.076; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2015-06-28 11:19:08.078; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2015-06-28 11:19:08.318; org.apache.solr.core.ConfigSolr; Loading container configuration from /opt/solr/solr/solr.xml
INFO  - 2015-06-28 11:19:08.623; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /opt/solr/solr
INFO  - 2015-06-28 11:19:08.635; org.apache.solr.core.CoreContainer; New CoreContainer 589313390
INFO  - 2015-06-28 11:19:08.635; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2015-06-28 11:19:08.653; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2015-06-28 11:19:08.654; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2015-06-28 11:19:08.660; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2015-06-28 11:19:08.661; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2015-06-28 11:19:08.664; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2015-06-28 11:19:08.665; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2015-06-28 11:19:08.665; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2015-06-28 11:19:08.665; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2015-06-28 11:19:08.666; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2015-06-28 11:19:09.234; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2015-06-28 11:19:09.236; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2015-06-28 11:19:09.239; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2015-06-28 11:19:09.324; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /opt/solr/solr
INFO  - 2015-06-28 11:19:09.362; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /opt/solr/solr/collection1/
INFO  - 2015-06-28 11:19:09.362; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
